cuotas,monto,edad,ingresos,empresa,comerciante,comercio,sucursal,plan,sexo,ocupacion,calificacion,nacionalidad,localidad,mora
0.12,0.013,0.76,0.077,0.1,0.0701,0.3458,0.24,0.2142,0.154,0.2068,0.0016,0.3466,0.5306,True
0.06,0.0012,0.3,0.8091,0.1,0.037,0.328,0.47,0.2106,0.154,0.0133,0.0016,0.3466,0.172,True
0.15,0.0038,0.32,0.2667,0.3,0.1274,0.4324,0.37,0.2309,0.147,0.0133,0.0016,0.3466,0.3881,True
0.06,0.0015,0.22,0.664,0.1,0.0449,0.4256,0.24,0.2287,0.154,0.0133,0.0016,0.3466,0.5306,True
0.04,0.0014,0.24,0.7147,0.1,0.1279,0.4215,0.49,0.2273,0.154,0.0133,0.0016,0.3827,0.5653,True
0.09,0.1006,0.41,0.0099,0.1,0.0159,0.0334,0.14,0.2044,0.147,0.0133,0.0016,0.3466,0.2671,True
0.06,0.0017,0.47,0.6003,0.1,0.1183,0.3895,0.09,0.2202,0.147,0.0133,0.0016,0.3466,0.4579,True
0.12,0.0461,0.56,0.0217,0.1,0.0159,0.0334,0.14,0.2044,0.147,0.0133,0.0016,0.3466,0.2671,True
0.06,0.0034,0.23,0.2944,0.1,0.0161,0.0335,0.25,0.2044,0.147,0.0133,0.0016,0.3466,0.4518,True
0.12,0.0023,0.37,0.4269,0.1,0.0158,0.0335,0.1,0.2044,0.147,0.0133,0.0016,0.3466,0.3235,True
0.15,0.0059,0.27,0.1687,0.1,0.0158,0.0336,0.09,0.2044,0.147,0.0133,0.0016,0.3466,0.0702,True
0.09,0.0026,0.78,0.3792,0.1,0.0157,0.0377,0.02,0.2043,0.154,0.2068,0.0016,0.3466,0.101,True
0.09,0.013,0.59,0.0772,0.1,0.0157,0.0335,0.06,0.2044,0.154,0.0133,0.0016,0.3466,0.1777,True
0.12,0.0015,0.3,0.665,0.1,0.0157,0.0377,0.02,0.2043,0.147,0.0133,0.0016,0.3466,0.3202,True
0.12,0.0048,0.26,0.2083,0.1,0.116,0.3275,0.49,0.2105,0.154,0.0133,0.0016,0.3466,0.4579,True
0.12,0.0037,0.22,0.2716,0.1,0.0157,0.0335,0.05,0.2044,0.154,0.0133,0.0016,0.3466,0.3574,True
0.09,0.0021,0.4,0.4686,0.1,0.0736,0.3263,0.28,0.2102,0.147,0.0133,0.0015,0.3466,0.4579,True
0.06,0.0022,0.24,0.4571,0.1,0.056,0.4129,0.01,0.2233,0.147,0.0133,0.0015,0.3466,0.0161,True
0.06,0.0016,0.69,0.625,0.1,0.0157,0.0335,0.05,0.2043,0.147,0.2068,0.0016,0.3466,0.2623,True
0.12,0.0074,0.49,0.1354,0.1,0.0937,0.3304,0.06,0.2112,0.154,0.0133,0.0016,0.3466,0.4579,True
0.06,0.0028,0.29,0.355,0.1,0.1251,0.4245,0.36,0.2283,0.154,0.0133,0.0016,0.3466,0.5884,True
0.06,0.0286,0.34,0.035,0.1,0.0158,0.0335,0.1,0.2044,0.154,0.0133,0.0016,0.3466,0.4579,True
0.03,0.0034,0.42,0.2962,0.1,0.0449,0.3478,0.24,0.2145,0.154,0.0133,0.0016,0.3466,0.3304,True
0.06,0.0039,0.7,0.2585,0.1,0.127,0.4203,0.36,0.2268,0.147,0.2068,0.0016,0.3466,0.4579,True
0.06,0.0025,0.36,0.397,0.1,0.0161,0.0334,0.26,0.2044,0.154,0.0133,0.0016,0.3466,0.2114,True
0.12,0.0332,0.32,0.0301,0.1,0.0157,0.0336,0.02,0.2043,0.147,0.0133,0.0016,0.3466,0.2877,True
0.09,0.0012,0.67,0.848,0.3,0.1272,0.4215,0.37,0.2273,0.154,0.2068,0.0016,0.3466,0.1296,True
0.09,0.0151,0.3,0.0664,0.1,0.0157,0.0335,0.06,0.2044,0.154,0.0133,0.0016,0.3466,0.1777,True
0.12,0.0067,0.28,0.1485,0.1,0.0157,0.0335,0.05,0.2044,0.147,0.0133,0.0016,0.3466,0.3574,True
0.06,0.003,0.39,0.3366,0.1,0.0407,0.4248,0.24,0.2284,0.147,0.0133,0.0016,0.3466,0.5833,True
0.06,0.0012,0.24,0.86,0.1,0.1051,0.3416,0.48,0.2045,0.147,0.0133,0.0016,0.3466,0.5332,True
0.06,0.0016,0.27,0.6348,0.1,0.0698,0.1446,0.28,0.2044,0.154,0.0133,0.0016,0.3466,0.5884,True
0.06,0.0025,0.69,0.4063,0.1,0.0157,0.0335,0.05,0.2043,0.147,0.2068,0.0016,0.3466,0.5684,True
0.06,0.0025,0.61,0.4031,0.1,0.0899,0.3259,0.24,0.2101,0.147,0.2068,0.0016,0.3466,0.4579,True
0.12,0.0625,0.63,0.016,0.1,0.0698,0.1446,0.28,0.2044,0.154,0.207,0.0016,0.3466,0.4579,True
0.12,0.0014,0.34,0.698,0.1,0.0596,0.3313,0.26,0.2114,0.147,0.0133,0.0016,0.3466,0.4579,True
0.09,0.0019,0.22,0.5245,0.1,0.0204,0.3291,0.01,0.2109,0.154,0.0133,0.0016,0.3466,0.4579,True
0.06,0.0021,0.26,0.4814,0.1,0.0681,0.355,0.24,0.1913,0.154,0.0133,0.0016,0.3827,0.0702,True
0.12,0.0081,0.3,0.1233,0.1,0.0157,0.0377,0.01,0.2043,0.154,0.0133,0.0016,0.3466,0.2194,True
0.06,0.0034,0.76,0.291,0.1,0.0157,0.0335,0.04,0.2043,0.147,0.2068,0.0016,0.3466,0.4785,True
0.12,0.0028,0.26,0.3602,0.1,0.1103,0.3631,0.49,0.2045,0.154,0.0133,0.0016,0.3466,0.5017,True
0.12,0.0102,0.52,0.098,0.1,0.0158,0.0335,0.1,0.2044,0.154,0.0133,0.0016,0.3466,0.4637,True
0.09,0.0035,0.71,0.2857,0.1,0.1103,0.3631,0.49,0.2045,0.147,0.2068,0.0016,0.3466,0.4517,True
0.06,0.0067,0.62,0.1483,0.1,0.0406,0.3567,0.1,0.2158,0.147,0.2068,0.0016,0.3466,0.4579,True
0.06,0.0043,0.68,0.2333,0.1,0.0159,0.0334,0.14,0.2044,0.147,0.2068,0.0016,0.3466,0.2671,True
0.09,0.0684,0.23,0.0146,0.1,0.0157,0.0335,0.06,0.2044,0.154,0.0133,0.0016,0.3466,0.1887,True
0.12,0.0032,0.33,0.3171,0.1,0.0158,0.0333,0.07,0.2044,0.154,0.0133,0.0016,0.3466,0.5074,True
0.12,0.0356,0.46,0.0281,0.1,0.0157,0.0335,0.04,0.2043,0.147,0.0133,0.0016,0.3466,0.2799,True
